,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
11,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",3 ,65 ,11 , 154  ,5800000 ,89231 ,5450000 ,83847 ,10.11.2016 ,12.04.2017 
12,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",3 ,64 ,7 , 24  ,8300000 ,129688 ,8300000 ,129688 ,21.02.2017 ,16.03.2017 
13,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",1 ,"32,5 ",4 , 10  ,3500000 ,107693 ,3500000 ,107693 ,04.02.2017 ,13.02.2017 
14,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",3 ,64 ,7 , 126  ,9700000 ,151563 ,9700000 ,151563 ,07.04.2016 ,10.08.2016 
15,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",1 ,"36,3 ",6 , 30  ,3500000 ,96419 ,3400000 ,93664 ,22.01.2016 ,20.02.2016 
16,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",3 ,"62,6 ",11 , 8  ,7100000 ,113419 ,7100000 ,113419 ,25.01.2016 ,01.02.2016 
17,"р-н. Наро-Фоминский, п. Марушкинское, д. Марушкино, д. 13 ",1 ,35 ,6 , 46  ,3900000 ,111429 ,3900000 ,111429 ,19.10.2015 ,03.12.2015 
18,"г. Зеленоград, д. 161 (им.В.Путина) ",1 ,36 ,2 , 624  ,3800000 ,105556 ,3800000 ,105556 ,19.04.2018 ,02.01.2020 
19,"г. Зеленоград, д. 161 (им.В.Путина) ",1 ,37 ,10 , 204  ,3600000 ,97298 ,3600000 ,97298 ,19.07.2017 ,07.02.2018 
20,"г. Зеленоград, д. 161 (им.В.Путина) ",2 ,46 ,8 , 87  ,5900000 ,128261 ,5400000 ,117392 ,22.03.2015 ,16.06.2015 
21,"г. Зеленоград, к. 301А ",1 ,33 ,1 , 127  ,4800000 ,145455 ,4800000 ,145455 ,19.03.2020 ,23.07.2020 
22,"г. Зеленоград, к. 301А ",1 ,33 ,4 , 13  ,5200000 ,157576 ,5200000 ,157576 ,04.06.2020 ,16.06.2020 
23,"г. Зеленоград, к. 301А ",2 ,45 ,4 , 65  ,6700000 ,148889 ,6700000 ,148889 ,29.03.2020 ,01.06.2020 
24,"г. Зеленоград, к. 301А ",2 ,"45,7 ",3 , 63  ,7100000 ,155362 ,6700000 ,146609 ,18.03.2020 ,19.05.2020 
25,"г. Зеленоград, к. 301А ",3 ,62 ,8 , 153  ,7490000 ,120807 ,7300000 ,117742 ,12.09.2019 ,11.02.2020 
26,"г. Зеленоград, к. 301А ",2 ,54 ,6 , 13  ,5000000 ,92593 ,5000000 ,92593 ,20.10.2018 ,01.11.2018 
27,"г. Зеленоград, к. 301А ",2 ,"45,5 ",6 , 5  ,4000000 ,87913 ,4000000 ,87913 ,20.10.2018 ,24.10.2018 
28,"г. Зеленоград, к. 301А ",1 ,33 ,8 , 4  ,4300000 ,130304 ,4300000 ,130304 ,16.06.2018 ,19.06.2018 
29,"г. Зеленоград, к. 301А ",1 ,32 ,3 , 16  ,3800000 ,118750 ,3800000 ,118750 ,28.05.2018 ,12.06.2018 
30,"г. Зеленоград, к. 301А ",1 ,33 ,9 , 107  ,4300000 ,130304 ,4200000 ,127273 ,21.02.2018 ,07.06.2018 
31,"г. Зеленоград, к. 301А ",3 ,62 ,5 , 232  ,6400000 ,103226 ,5690000 ,91775 ,03.08.2017 ,22.03.2018 
32,"г. Зеленоград, к. 301А ",1 ,33 ,7 , 172  ,3450000 ,104546 ,3450000 ,104546 ,21.08.2017 ,08.02.2018 
33,"г. Зеленоград, к. 301А ",2 ,46 ,9 , 35  ,1650000 ,35870 ,1650000 ,35870 ,28.09.2017 ,01.11.2017 
34,"г. Зеленоград, к. 301А ",2 ,"45,8 ",3 , 110  ,5400000 ,117904 ,5350000 ,116813 ,09.02.2017 ,29.05.2017 
35,"г. Зеленоград, к. 301А ",3 ,64 ,5 , 624  ,8600000 ,134375 ,6900000 ,107813 ,31.08.2015 ,15.05.2017 
36,"г. Зеленоград, к. 301А ",3 ,61 ,7 , 236  ,6800000 ,111476 ,6600000 ,108197 ,01.08.2016 ,24.03.2017 
37,"г. Зеленоград, к. 301А ",1 ,35 ,3 , 25  ,4700000 ,134286 ,4700000 ,134286 ,21.10.2016 ,14.11.2016 
38,"г. Зеленоград, к. 301А ",3 ,61 ,8 , 101  ,8050000 ,131968 ,8050000 ,131968 ,22.07.2016 ,30.10.2016 
