,Адрес,Год постройки,Город,Количество жилых помещений,Количество лифтов,"Количество мусоропроводов, ед.",Количество подъездов,Количество этажей,Материал несущих стен,Площадь зем. участка общего имущества м2,Площадь нежилых помещений м2,Площадь парковки м2,Спортивная площадка,Тип мусоропровода
3764,"пр-кт. Ленина, д. 40",1991,Кириши,79,не указано,не указано,5,5,Панельные,0.00,924.80,0.00,Не имеется,На лестничной клетке
3765,"пр-кт. Ленина, д. 41",1990,Кириши,80,1,не указано,5,6,Панельные,0.00,1 127.30,0.00,Не имеется,На лестничной клетке
3766,"пр-кт. Ленина, д. 42",1991,Кириши,68,не указано,не указано,4,6,Панельные,0.00,928.30,0.00,Не имеется,На лестничной клетке
3767,"пр-кт. Ленина, д. 43",1991,Кириши,40,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3768,"пр-кт. Ленина, д. 46",1998,Кириши,5,1,не указано,1,6,Кирпич,1 473.00,318.50,0.00,Не имеется,На лестничной клетке
3769,"пр-кт. Ленина, д. 47",2004,Кириши,28,1,не указано,1,10,Панельные,0.00,785.90,0.00,Не имеется,На лестничной клетке
3770,"пр-кт. Ленина, д. 48",1993,Кириши,40,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3771,"пр-кт. Ленина, д. 49",2003,Кириши,49,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3772,"пр-кт. Ленина, д. 50",1998,Кириши,35,1,не указано,1,10,Панельные,0.00,355.10,0.00,Не имеется,На лестничной клетке
3773,"пр-кт. Ленина, д. 51",1995,Кириши,40,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3774,"пр-кт. Ленина, д. 52",1999,Кириши,75,не указано,не указано,3,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3775,"пр-кт. Ленина, д. 53",2005,Кириши,24,не указано,не указано,1,8,Кирпич,0.00,324.70,0.00,Не имеется,На лестничной клетке
3776,"пр-кт. Ленина, д. 55",2004,Кириши,69,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3777,"пр-кт. Ленина, д. 56",2000,Кириши,38,1,не указано,1,10,Панельные,0.00,302.10,0.00,Не имеется,На лестничной клетке
3778,"пр-кт. Ленина, д. 57",2007,Кириши,25,1,не указано,1,7,Кирпич,0.00,333.00,0.00,Не имеется,На лестничной клетке
3779,"пр-кт. Ленина, д. 58",2001,Кириши,25,не указано,не указано,1,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3780,"пр-кт. Ленина, д. 59",2006,Кириши,50,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3781,"пр-кт. Ленина, д. 60",2003,Кириши,20,1,не указано,1,7,Панельные,0.00,232.30,0.00,Не имеется,На лестничной клетке
3782,"пр-кт. Ленина, д. 61",2009,Кириши,32,1,1,1,8,Кирпич,0.00,484.50,0.00,Не имеется,На лестничной клетке
3783,"ул. Ленинградская, д. 1",1975,Кириши,45,1,не указано,1,9,Кирпич,0.00,16.10,0.00,Не имеется,На лестничной клетке
3784,"ул. Ленинградская, д. 3",1974,Кириши,36,1,не указано,1,9,Кирпич,0.00,0.00,0.00,Не имеется,На лестничной клетке
3785,"ул. Ленинградская, д. 5",1992,Кириши,94,2,не указано,2,9,Кирпич,0.00,0.00,0.00,Не имеется,На лестничной клетке
3786,"ул. Ленинградская, д. 7",1982,Кириши,79,не указано,не указано,6,5,Кирпич,0.00,274.70,0.00,Не имеется,На лестничной клетке
3787,"ул. Ленинградская, д. 9",1979,Кириши,52,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,На лестничной клетке
3788,"ул. Ленинградская, д. 9, к. а",1995,Кириши,115,не указано,не указано,10,6,Кирпич,0.00,469.00,0.00,Не имеется,На лестничной клетке
3789,"ул. Ленинградская, д. 11",2001,Кириши,92,4,не указано,4,9,Кирпич,0.00,504.40,0.00,Есть,На лестничной клетке
3790,"ул. Мира, д. 1",1963,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,265.10,0.00,Есть,Отсутствует
3791,"ул. Мира, д. 2",1968,Кириши,45,1,не указано,1,9,Кирпич,0.00,43.90,0.00,Не имеется,На лестничной клетке
3792,"ул. Мира, д. 3",1963,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3793,"ул. Мира, д. 4",1968,Кириши,45,1,не указано,1,9,Кирпич,0.00,37.00,0.00,Есть,На лестничной клетке
3794,"ул. Мира, д. 5",1963,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3795,"ул. Мира, д. 6",1968,Кириши,45,1,не указано,1,9,Кирпич,0.00,43.00,0.00,Не имеется,На лестничной клетке
3796,"ул. Мира, д. 7",1963,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3797,"ул. Мира, д. 8",1966,Кириши,97,не указано,не указано,5,5,Кирпич,0.00,95.23,0.00,Не имеется,Отсутствует
3798,"ул. Мира, д. 9",1963,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3799,"ул. Мира, д. 10",1966,Кириши,80,не указано,не указано,5,5,Кирпич,0.00,1 192.40,0.00,Не имеется,Отсутствует
3800,"ул. Мира, д. 11",1963,Кириши,64,не указано,не указано,4,5,Кирпич,0.00,714.70,0.00,Не имеется,Отсутствует
3801,"ул. Мира, д. 12",1966,Кириши,80,не указано,не указано,5,5,Кирпич,0.00,1 174.45,0.00,Не имеется,Отсутствует
3802,"ул. Мира, д. 14",1966,Кириши,107,3,не указано,3,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3803,"ул. Мира, д. 16",1966,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3804,"ул. Мира, д. 17",1964,Кириши,64,не указано,не указано,4,5,Кирпич,0.00,716.80,0.00,Не имеется,Отсутствует
3805,"ул. Мира, д. 18",1966,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3806,"ул. Мира, д. 19",1965,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3807,"ул. Мира, д. 20",1968,Кириши,45,1,не указано,1,9,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3808,"ул. Мира, д. 21",1963,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3809,"ул. Мира, д. 23",1963,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3810,"ул. Мира, д. 25",1964,Кириши,75,не указано,не указано,4,5,Кирпич,0.00,149.90,0.00,Не имеется,Отсутствует
3811,"ул. Мира, д. 27",1964,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3812,"б-р. Молодежный, д. 1",1976,Кириши,117,не указано,не указано,8,5,Панельные,1 555.50,84.90,0.00,Не имеется,На лестничной клетке
3813,"б-р. Молодежный, д. 3",1976,Кириши,117,не указано,не указано,8,5,Панельные,7 672.00,84.68,0.00,Не имеется,Отсутствует
3814,"б-р. Молодежный, д. 4",2010,Кириши,56,2,2,2,9,Монолитные,9 941.00,2 232.10,не указано,Не имеется,На лестничной клетке
3815,"б-р. Молодежный, д. 5",1976,Кириши,117,не указано,не указано,8,5,Панельные,0.00,99.10,0.00,Не имеется,Отсутствует
3816,"б-р. Молодежный, д. 7",1977,Кириши,117,не указано,не указано,8,5,Панельные,0.00,87.60,0.00,Не имеется,На лестничной клетке
3817,"б-р. Молодежный, д. 8",1975,Кириши,59,не указано,не указано,5,5,Панельные,0.00,61.50,0.00,Не имеется,Отсутствует
3818,"б-р. Молодежный, д. 9",1978,Кириши,119,не указано,не указано,8,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3819,"б-р. Молодежный, д. 10",1974,Кириши,40,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,Отсутствует
3820,"б-р. Молодежный, д. 12",1974,Кириши,120,не указано,не указано,6,5,Панельные,7 743.00,0.00,0.00,Есть,Отсутствует
3821,"б-р. Молодежный, д. 13",1977,Кириши,119,не указано,не указано,8,5,Панельные,6 052.00,0.00,0.00,Есть,На лестничной клетке
3822,"б-р. Молодежный, д. 15",1976,Кириши,103,не указано,не указано,7,5,Панельные,4 206.00,0.00,0.00,Не имеется,На лестничной клетке
3823,"б-р. Молодежный, д. 16",1974,Кириши,57,не указано,не указано,4,5,Панельные,0.00,148.81,0.00,Не имеется,Отсутствует
3824,"б-р. Молодежный, д. 18",1974,Кириши,59,не указано,не указано,4,5,Панельные,0.00,60.01,0.00,Не имеется,Отсутствует
3825,"б-р. Молодежный, д. 19",1989,Кириши,36,1,не указано,1,9,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3826,"б-р. Молодежный, д. 21",1981,Кириши,59,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3827,"б-р. Молодежный, д. 22",1980,Кириши,120,не указано,не указано,6,5,Панельные,1 790.70,48.71,0.00,Не имеется,Отсутствует
3828,"б-р. Молодежный, д. 23",1981,Кириши,45,не указано,не указано,3,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3829,"б-р. Молодежный, д. 24",1974,Кириши,40,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,Отсутствует
3830,"б-р. Молодежный, д. 26",1974,Кириши,59,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,Отсутствует
3831,"б-р. Молодежный, д. 27",1992,Кириши,36,1,не указано,1,9,Панельные,321.00,0.00,0.00,Не имеется,На лестничной клетке
3832,"б-р. Молодежный, д. 28",1979,Кириши,54,2,не указано,2,9,Кирпич,2 333.70,0.00,0.00,Не имеется,На лестничной клетке
3833,"б-р. Молодежный, д. 32",1980,Кириши,60,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3834,"б-р. Молодежный, д. 34",1981,Кириши,43,не указано,не указано,3,5,Панельные,772.00,84.50,0.00,Не имеется,На лестничной клетке
3835,"ул. Нефтехимиков, д. 3",1976,Кириши,180,5,не указано,5,9,Панельные,0.00,66.10,0.00,Не имеется,На лестничной клетке
3836,"ул. Нефтехимиков, д. 5",1977,Кириши,89,не указано,не указано,6,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3837,"ул. Нефтехимиков, д. 6",1981,Кириши,119,не указано,не указано,8,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3838,"ул. Нефтехимиков, д. 8",1980,Кириши,88,не указано,не указано,6,5,Панельные,0.00,47.40,0.00,Не имеется,На лестничной клетке
3839,"ул. Нефтехимиков, д. 10",1982,Кириши,60,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3840,"ул. Нефтехимиков, д. 12",1983,Кириши,45,не указано,не указано,3,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3841,"ул. Нефтехимиков, д. 14",1982,Кириши,59,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3842,"ул. Нефтехимиков, д. 16",1982,Кириши,58,не указано,не указано,4,5,Панельные,0.00,137.40,0.00,Не имеется,На лестничной клетке
3843,"ул. Нефтехимиков, д. 18",1982,Кириши,89,не указано,не указано,6,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3844,"ул. Нефтехимиков, д. 19",1975,Кириши,144,4,не указано,4,9,Панельные,0.00,0.00,0.00,Есть,На лестничной клетке
3845,"ул. Нефтехимиков, д. 20",1983,Кириши,59,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3846,"ул. Нефтехимиков, д. 21",1973,Кириши,87,не указано,не указано,6,5,Панельные,0.00,150.85,0.00,Есть,Отсутствует
3847,"ул. Нефтехимиков, д. 22",1982,Кириши,57,не указано,не указано,4,5,Панельные,0.00,30.20,0.00,Не имеется,На лестничной клетке
3848,"ул. Нефтехимиков, д. 23",1973,Кириши,60,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Есть,Отсутствует
3849,"ул. Нефтехимиков, д. 24",2010,Кириши,55,2,не указано,2,7,Кирпич,0.00,0.00,0.00,Не имеется,На лестничной клетке
3850,"ул. Нефтехимиков, д. 24, к. а",2011,Кириши,108,2,не указано,2,12,Смешанные,0.00,164.20,0.00,Не имеется,На лестничной клетке
3851,"ул. Нефтехимиков, д. 25",1974,Кириши,59,не указано,не указано,4,5,Панельные,0.00,56.20,0.00,Не имеется,На лестничной клетке
3852,"ул. Нефтехимиков, д. 26",1984,Кириши,89,не указано,не указано,6,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3853,"ул. Нефтехимиков, д. 29",1980,Кириши,88,не указано,не указано,6,5,Панельные,0.00,99.80,0.00,Не имеется,На лестничной клетке
3854,"ул. Нефтехимиков, д. 31",1979,Кириши,58,не указано,не указано,4,5,Панельные,0.00,87.10,0.00,Не имеется,На лестничной клетке
3855,"ул. Нефтехимиков, д. 33",1979,Кириши,28,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Есть,На лестничной клетке
3856,"ул. Нефтехимиков, д. 45",2006,Кириши,108,3,не указано,3,9,Кирпич,0.00,0.00,0.00,Не имеется,На лестничной клетке
3857,"ул. Пионерская, д. 1",1963,Кириши,36,не указано,не указано,3,4,Кирпич,0.00,521.40,0.00,Не имеется,Отсутствует
3858,"ул. Пионерская, д. 2",1963,Кириши,28,не указано,не указано,3,5,Кирпич,0.00,574.90,0.00,Не имеется,Отсутствует
3859,"ул. Пионерская, д. 3",1962,Кириши,31,не указано,не указано,2,4,Кирпич,0.00,28.50,0.00,Не имеется,Отсутствует
3860,"ул. Пионерская, д. 4",1963,Кириши,25,не указано,не указано,3,5,Кирпич,0.00,543.80,0.00,Не имеется,Отсутствует
3861,"ул. Пионерская, д. 5",1963,Кириши,30,не указано,не указано,2,4,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3862,"ул. Пионерская, д. 7",1963,Кириши,47,не указано,не указано,3,4,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3863,"ул. Пионерская, д. 8",1967,Кириши,45,1,не указано,1,9,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3864,"ул. Пионерская, д. 9",1964,Кириши,76,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3865,"ул. Пионерская, д. 11",1963,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3866,"ул. Пионерская, д. 13",1963,Кириши,76,не указано,не указано,4,5,Кирпич,0.00,161.50,0.00,Не имеется,Отсутствует
3867,"б-р. Плавницкий, д. 2",1990,Кириши,180,5,не указано,5,9,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3868,"б-р. Плавницкий, д. 4",1986,Кириши,104,не указано,не указано,7,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3869,"б-р. Плавницкий, д. 8",2008,Кириши,50,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3870,"б-р. Плавницкий, д. 10",1989,Кириши,69,не указано,не указано,1,5,Кирпич,0.00,0.00,0.00,Не имеется,На лестничной клетке
3871,"б-р. Плавницкий, д. 12",2008,Кириши,50,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3872,"б-р. Плавницкий, д. 14",2002,Кириши,25,не указано,не указано,1,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3873,"б-р. Плавницкий, д. 16",1992,Кириши,36,1,не указано,1,9,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3874,"б-р. Плавницкий, д. 18",1983,Кириши,87,6,не указано,6,10,Панельные,0.00,50.50,0.00,Не имеется,На лестничной клетке
3875,"б-р. Плавницкий, д. 20",1983,Кириши,43,не указано,не указано,3,5,Кирпич,0.00,101.20,0.00,Есть,На лестничной клетке
3876,"б-р. Плавницкий, д. 22",1984,Кириши,30,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3877,"б-р. Плавницкий, д. 24",1983,Кириши,60,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Есть,На лестничной клетке
3878,"б-р. Плавницкий, д. 26",1991,Кириши,36,1,не указано,1,9,Панельные,0.00,0.00,0.00,Есть,На лестничной клетке
3879,"б-р. Плавницкий, д. 28",1983,Кириши,87,не указано,не указано,6,5,Панельные,0.00,98.70,0.00,Есть,На лестничной клетке
3880,"б-р. Плавницкий, д. 30",1983,Кириши,58,не указано,не указано,4,5,Панельные,0.00,99.30,0.00,Есть,На лестничной клетке
3881,"б-р. Плавницкий, д. 32",1984,Кириши,45,не указано,не указано,3,5,Панельные,0.00,0.00,0.00,Есть,На лестничной клетке
3882,"б-р. Плавницкий, д. 34",1984,Кириши,30,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Есть,На лестничной клетке
3883,"б-р. Плавницкий, д. 36",1997,Кириши,36,1,не указано,1,9,Панельные,0.00,0.00,0.00,Есть,На лестничной клетке
3884,"пр-кт. Победы, д. 3",1976,Кириши,55,2,не указано,1,12,Кирпич,0.00,281.60,0.00,Не имеется,На лестничной клетке
3885,"пр-кт. Победы, д. 5",1975,Кириши,28,не указано,не указано,3,5,Кирпич,0.00,348.00,0.00,Не имеется,На лестничной клетке
3886,"пр-кт. Победы, д. 7",1973,Кириши,76,не указано,не указано,5,5,Кирпич,0.00,1 357.31,0.00,Не имеется,Отсутствует
3887,"пр-кт. Победы, д. 9",1972,Кириши,137,не указано,не указано,7,5,Кирпич,0.00,105.60,0.00,Не имеется,Отсутствует
3888,"ул. Романтиков, д. 1",1964,Кириши,79,не указано,не указано,4,5,Кирпич,0.00,42.70,0.00,Есть,Отсутствует
3889,"ул. Романтиков, д. 3",1964,Кириши,80,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Есть,Отсутствует
3890,"ул. Романтиков, д. 5",1966,Кириши,60,не указано,не указано,3,5,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3891,"ул. Романтиков, д. 7",1966,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3892,"ул. Романтиков, д. 9",1966,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3893,"ул. Романтиков, д. 11",1965,Кириши,80,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Есть,Отсутствует
3894,"ул. Романтиков, д. 13",1965,Кириши,80,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Есть,Отсутствует
3895,"ул. Романтиков, д. 15",1965,Кириши,79,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3896,"ул. Советская, д. 11",1965,Кириши,108,не указано,не указано,1,5,Кирпич,0.00,520.70,0.00,Не имеется,Отсутствует
3897,"ул. Советская, д. 12",1970,Кириши,80,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
3898,"ул. Советская, д. 12, к. а",1970,Кириши,117,не указано,не указано,8,5,Панельные,0.00,108.30,0.00,Не имеется,Отсутствует
3899,"ул. Советская, д. 12, к. б",1970,Кириши,98,не указано,не указано,5,5,Кирпич,0.00,71.98,0.00,Не имеется,Отсутствует
3900,"ул. Советская, д. 13",1966,Кириши,98,не указано,не указано,5,5,Кирпич,0.00,69.40,0.00,Есть,Отсутствует
3901,"ул. Советская, д. 15",1965,Кириши,94,не указано,не указано,5,5,Кирпич,0.00,225.00,0.00,Не имеется,Отсутствует
3902,"ул. Советская, д. 17",1967,Кириши,116,не указано,не указано,6,5,Кирпич,0.00,236.16,0.00,Не имеется,Отсутствует
3903,"ул. Советская, д. 18",1984,Кириши,26,не указано,не указано,3,5,Кирпич,0.00,423.70,0.00,Не имеется,На лестничной клетке
3904,"ул. Советская, д. 19",1969,Кириши,80,не указано,не указано,5,5,Кирпич,0.00,1 294.06,0.00,Не имеется,Отсутствует
3905,"ул. Советская, д. 21",1972,Кириши,48,2,не указано,1,12,Кирпич,0.00,171.60,0.00,Не имеется,На лестничной клетке
3906,"ул. Советская, д. 22",1981,Кириши,35,не указано,не указано,2,5,Кирпич,0.00,12.90,0.00,Не имеется,На лестничной клетке
3907,"ул. Советская, д. 23",1971,Кириши,48,2,не указано,1,12,Кирпич,0.00,0.00,0.00,Не имеется,На лестничной клетке
3908,"ул. Советская, д. 24",1985,Кириши,80,4,не указано,4,6,Кирпич,0.00,1 267.40,0.00,Не имеется,На лестничной клетке
3909,"ул. Советская, д. 25",1969,Кириши,60,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,Отсутствует
3910,"ул. Советская, д. 25, к. а",1969,Кириши,59,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,Отсутствует
3911,"ул. Советская, д. 25, к. б",1969,Кириши,60,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,Отсутствует
3912,"ул. Советская, д. 31",1987,Кириши,68,не указано,не указано,6,5,Кирпич,0.00,1 570.10,0.00,Не имеется,На лестничной клетке
3913,"ул. Строителей, д. 2",1971,Кириши,248,5,не указано,5,9,Кирпич,0.00,1 911.20,0.00,Есть,На лестничной клетке
3914,"ул. Строителей, д. 4",1978,Кириши,48,2,не указано,1,12,Кирпич,0.00,0.00,0.00,Есть,На лестничной клетке
3915,"ул. Строителей, д. 6",1972,Кириши,70,не указано,не указано,4,5,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3916,"ул. Строителей, д. 6, к. а",1973,Кириши,14,не указано,не указано,1,5,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3917,"ул. Строителей, д. 7",1981,Кириши,107,не указано,не указано,7,5,Панельные,0.00,16.60,0.00,Есть,На лестничной клетке
3918,"ул. Строителей, д. 8",1972,Кириши,55,не указано,не указано,3,5,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3919,"ул. Строителей, д. 9",1979,Кириши,75,не указано,не указано,5,5,Панельные,0.00,0.00,0.00,Есть,На лестничной клетке
3920,"ул. Строителей, д. 10",1975,Кириши,248,5,не указано,5,9,Кирпич,0.00,1 974.84,0.00,Есть,На лестничной клетке
3921,"ул. Строителей, д. 11",1986,Кириши,104,не указано,не указано,7,5,Панельные,0.00,16.50,0.00,Не имеется,На лестничной клетке
3922,"ул. Строителей, д. 13",1988,Кириши,30,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Есть,На лестничной клетке
3923,"ул. Строителей, д. 14",1975,Кириши,55,не указано,не указано,3,5,Кирпич,0.00,0.00,0.00,Есть,Отсутствует
3924,"ул. Строителей, д. 15",1988,Кириши,177,не указано,не указано,12,5,Панельные,0.00,52.50,0.00,Не имеется,На лестничной клетке
3925,"ул. Строителей, д. 16",1976,Кириши,84,не указано,не указано,5,5,Кирпич,0.00,72.90,0.00,Не имеется,Отсутствует
3926,"ул. Строителей, д. 17",1989,Кириши,104,не указано,не указано,10,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3927,"ул. Строителей, д. 18",1977,Кириши,48,2,не указано,1,12,Кирпич,0.00,0.00,0.00,Не имеется,На лестничной клетке
3928,"ул. Строителей, д. 20",1972,Кириши,59,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Есть,Отсутствует
3929,"ул. Строителей, д. 22",1972,Кириши,116,не указано,не указано,2,5,Кирпич,0.00,118.30,0.00,Не имеется,Отсутствует
3930,"ул. Строителей, д. 24",1973,Кириши,88,не указано,не указано,6,5,Панельные,0.00,108.13,0.00,Не имеется,Отсутствует
3931,"ул. Строителей, д. 26",1974,Кириши,248,5,не указано,5,9,Кирпич,0.00,2 105.90,0.00,Не имеется,На лестничной клетке
3932,"ул. Строителей, д. 28",1993,Кириши,36,1,не указано,1,9,Панельные,0.00,62.40,0.00,Не имеется,На лестничной клетке
3933,"ул. Строителей, д. 30",1991,Кириши,108,3,не указано,3,9,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3934,"ул. Строителей, д. 30, к. а",1996,Кириши,40,1,не указано,1,9,Кирпич,0.00,151.80,0.00,Не имеется,На лестничной клетке
3935,"ул. Строителей, д. 32",1990,Кириши,71,2,не указано,2,9,Панельные,0.00,27.90,0.00,Не имеется,На лестничной клетке
3936,"ул. Строителей, д. 34",1988,Кириши,30,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3937,"ул. Строителей, д. 36",1989,Кириши,90,не указано,не указано,6,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3938,"ул. Строителей, д. 38",1991,Кириши,130,4,не указано,4,9,Панельные,0.00,118.30,0.00,Есть,На лестничной клетке
3939,"ул. Строителей, д. 40",1991,Кириши,143,4,не указано,4,9,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3940,"ул. Строителей, д. 42",1988,Кириши,90,не указано,не указано,6,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3941,"ул. Строителей, д. 44",1988,Кириши,60,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3942,"ул. Строителей, д. 46",1991,Кириши,139,4,не указано,4,9,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3943,"ул. Строителей, д. 48",1993,Кириши,72,не указано,не указано,3,6,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3944,"пер. Школьный, д. 1",1969,Кириши,134,не указано,не указано,2,5,Кирпич,0.00,251.20,0.00,Не имеется,Отсутствует
3945,"пер. Школьный, д. 3",1970,Кириши,не указано,не указано,не указано,2,5,Кирпич,не указано,780.70,не указано,Не имеется,Отсутствует
3946,"пер. Школьный, д. 5",1974,Кириши,59,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,Отсутствует
3947,"ул. Энергетиков, д. 1",1971,Кириши,116,не указано,не указано,8,5,Панельные,0.00,170.10,0.00,Не имеется,На лестничной клетке
3948,"ул. Энергетиков, д. 3",1971,Кириши,50,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Есть,Отсутствует
3949,"ул. Энергетиков, д. 4",1997,Кириши,40,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3950,"ул. Энергетиков, д. 5",1972,Кириши,50,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,Отсутствует
3951,"ул. Энергетиков, д. 6",2001,Кириши,40,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3952,"ул. Энергетиков, д. 7",1974,Кириши,116,не указано,не указано,8,5,Панельные,0.00,178.50,0.00,Не имеется,Отсутствует
3953,"ул. Энергетиков, д. 8",1996,Кириши,28,1,не указано,1,7,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3954,"ул. Энергетиков, д. 9",1972,Кириши,59,не указано,не указано,4,5,Панельные,0.00,60.90,0.00,Не имеется,Отсутствует
3955,"ул. Энергетиков, д. 9, к. а",1971,Кириши,59,не указано,не указано,4,5,Панельные,0.00,0.00,0.00,Не имеется,Отсутствует
3956,"ул. Энергетиков, д. 10",1995,Кириши,40,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
3957,"ул. Энергетиков, д. 10, к. а",1999,Кириши,40,не указано,не указано,2,5,Панельные,0.00,0.00,0.00,Не имеется,На лестничной клетке
