,Адрес,Год постройки,Город,Количество жилых помещений,Количество лифтов,"Количество мусоропроводов, ед.",Количество подъездов,Количество этажей,Материал несущих стен,Площадь зем. участка общего имущества м2,Площадь нежилых помещений м2,Площадь парковки м2,Спортивная площадка,Тип мусоропровода
7606,"ул. Кирова, д. 18А",1981,Сланцы,60,не указано,не указано,4,5,Панельные,5 516.00,0.00,75.00,Не имеется,Отсутствует
7607,"ул. Кирова, д. 20",1937,Сланцы,42,не указано,не указано,3,4,Кирпич,6 574.00,340.30,108.00,Не имеется,Отсутствует
7608,"ул. Кирова, д. 21",1951,Сланцы,15,не указано,не указано,3,2,Кирпич,2 811.30,165.80,0.00,Не имеется,Отсутствует
7609,"ул. Кирова, д. 22",1937,Сланцы,39,не указано,не указано,3,4,Кирпич,6 622.00,408.90,0.00,Не имеется,Отсутствует
7610,"ул. Кирова, д. 24",1966,Сланцы,80,не указано,не указано,5,5,Кирпич,13 334.00,1 199.20,0.00,Не имеется,Отсутствует
7611,"ул. Кирова, д. 25",1957,Сланцы,13,не указано,не указано,3,2,Кирпич,1 705.40,167.00,0.00,Не имеется,Отсутствует
7612,"ул. Кирова, д. 27",1961,Сланцы,31,не указано,не указано,3,3,Кирпич,2 074.00,293.60,0.00,Не имеется,Отсутствует
7613,"ул. Кирова, д. 30",1978,Сланцы,16,1,не указано,1,9,Кирпич,2 307.00,632.50,0.00,Не имеется,Отсутствует
7614,"ул. Кирова, д. 31",1952,Сланцы,4,не указано,не указано,1,2,Кирпич,1 690.00,270.20,0.00,Не имеется,Отсутствует
7615,"ул. Кирова, д. 32",1954,Сланцы,4,не указано,не указано,2,2,Кирпич,2 012.00,596.30,0.00,Не имеется,Отсутствует
7616,"ул. Кирова, д. 34",1954,Сланцы,6,не указано,не указано,2,2,Кирпич,1 692.00,339.70,0.00,Не имеется,Отсутствует
7617,"ул. Кирова, д. 36",1948,Сланцы,11,не указано,не указано,2,2,Кирпич,3 005.00,63.60,0.00,Не имеется,Отсутствует
7618,"ул. Кирова, д. 37",1950,Сланцы,6,не указано,не указано,1,2,Кирпич,2 113.00,138.40,0.00,Не имеется,Отсутствует
7619,"ул. Кирова, д. 39",1950,Сланцы,8,не указано,не указано,1,2,Кирпич,2 113.00,350.70,0.00,Не имеется,Отсутствует
7620,"ул. Кирова, д. 40",1948,Сланцы,7,не указано,не указано,2,2,Кирпич,1 494.00,231.20,0.00,Не имеется,Отсутствует
7621,"ул. Кирова, д. 41",1951,Сланцы,5,не указано,не указано,1,2,Кирпич,1 146.00,188.10,0.00,Не имеется,Отсутствует
7622,"ул. Кирова, д. 42",1970,Сланцы,64,не указано,не указано,4,5,Кирпич,3 426.00,1 564.40,0.00,Не имеется,Отсутствует
7623,"ул. Кирова, д. 43",1951,Сланцы,8,не указано,не указано,2,2,Кирпич,2 800.11,200.60,0.00,Не имеется,Отсутствует
7624,"ул. Кирова, д. 44",1975,Сланцы,64,не указано,не указано,4,5,Кирпич,3 755.00,904.88,0.00,Не имеется,Отсутствует
7625,"ул. Кирова, д. 45",1952,Сланцы,6,не указано,не указано,1,2,Кирпич,1 146.00,132.90,0.00,Не имеется,Отсутствует
7626,"ул. Кирова, д. 46",1969,Сланцы,70,не указано,не указано,4,5,Кирпич,2 418.57,0.00,0.00,Не имеется,Отсутствует
7627,"ул. Кирова, д. 46а",1968,Сланцы,80,не указано,не указано,4,5,Панельные,4 168.22,0.00,0.00,Не имеется,Отсутствует
7628,"ул. Кирова, д. 46б",1968,Сланцы,80,не указано,не указано,4,5,Панельные,4 361.00,0.00,0.00,Не имеется,Отсутствует
7629,"ул. Кирова, д. 46в",1968,Сланцы,80,не указано,не указано,4,5,Панельные,6 314.70,0.00,0.00,Не имеется,Отсутствует
7630,"ул. Кирова, д. 47",1952,Сланцы,8,не указано,не указано,2,2,Кирпич,1 305.00,175.10,0.00,Не имеется,Отсутствует
7631,"ул. Кирова, д. 50",1973,Сланцы,128,не указано,не указано,8,5,Кирпич,7 780.00,2 225.66,0.00,Не имеется,Отсутствует
7632,"ул. Кирова, д. 51/2",1974,Сланцы,не указано,не указано,не указано,6,5,Кирпич,не указано,0.00,не указано,не указано,не указано
7633,"ул. Кирова, д. 51, к. 2",1974,Сланцы,100,не указано,не указано,6,5,Кирпич,2 440.80,0.00,0.00,Не имеется,Отсутствует
7634,"ул. Кирова, д. 51, к. 1",1974,Сланцы,56,не указано,не указано,4,5,Кирпич,3 100.00,1 030.76,0.00,Не имеется,Отсутствует
7635,"ул. Кирова, д. 51/2",1974,Сланцы,не указано,не указано,не указано,6,5,Кирпич,не указано,0.00,не указано,не указано,не указано
7636,"ул. Кирова, д. 53",1974,Сланцы,42,1,не указано,1,9,Кирпич,2 313.00,954.80,0.00,Не имеется,Отсутствует
7637,"ул. Климчука, д. 2",1970,Сланцы,100,не указано,не указано,6,5,Кирпич,6 886.50,0.00,0.00,Не имеется,Отсутствует
7638,"ул. Климчука, д. 4",1971,Сланцы,100,не указано,не указано,6,5,Кирпич,4 963.50,0.00,0.00,Не имеется,Отсутствует
7639,"пер. Клубный, д. 3",1954,Сланцы,8,не указано,не указано,1,2,Кирпич,1 377.70,0.00,0.00,Не имеется,Отсутствует
7640,"пер. Клубный, д. 3а",1954,Сланцы,8,не указано,не указано,1,2,Кирпич,636.70,0.00,0.00,Не имеется,Отсутствует
7641,"ул. Ленина, д. 1/1",1948,Сланцы,8,не указано,не указано,2,2,Кирпич,4 406.10,175.90,0.00,Не имеется,Отсутствует
7642,"ул. Ленина, д. 2",1951,Сланцы,8,не указано,не указано,2,2,Кирпич,860.00,182.20,0.00,Не имеется,Отсутствует
7643,"ул. Ленина, д. 3",1951,Сланцы,8,не указано,не указано,2,2,Кирпич,4 656.84,168.90,0.00,Не имеется,Отсутствует
7644,"ул. Ленина, д. 4",1950,Сланцы,4,не указано,не указано,1,2,Кирпич,913.30,85.00,0.00,Не имеется,Отсутствует
7645,"ул. Ленина, д. 6",1950,Сланцы,6,не указано,не указано,2,2,Кирпич,975.03,265.60,0.00,Не имеется,Отсутствует
7646,"ул. Ленина, д. 7",1951,Сланцы,7,не указано,не указано,2,2,Кирпич,2 413.00,221.30,0.00,Не имеется,Отсутствует
7647,"ул. Ленина, д. 9",1950,Сланцы,9,не указано,не указано,3,2,Кирпич,2 276.00,692.10,0.00,Не имеется,Отсутствует
7648,"ул. Ленина, д. 10",1950,Сланцы,2,не указано,не указано,2,2,Кирпич,944.00,431.30,0.00,Не имеется,Отсутствует
7649,"ул. Ленина, д. 11",1966,Сланцы,80,не указано,не указано,5,5,Кирпич,13 334.40,1 290.80,0.00,Не имеется,Отсутствует
