,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
19,"ул. Авиационная, д. 13, лит. А",2,"52,1",2, 29 ,8300000,159310,8300000,159310,03.09.2019,01.10.2019
20,"ул. Авиационная, д. 13, лит. А",2,"51,3",1, 199 ,8800000,171540,8080000,157505,29.01.2019,15.08.2019
21,"ул. Авиационная, д. 13, лит. А",3,"89,6",7, 73 ,14000000,156250,13990000,156139,06.05.2019,17.07.2019
22,"ул. Авиационная, д. 13, лит. А",3,72,1, 197 ,10500000,145834,10500000,145834,20.12.2018,04.07.2019
23,"ул. Авиационная, д. 13, лит. А",3,75,5, 569 ,10300000,137334,10500000,140000,20.07.2017,08.02.2019
24,"ул. Авиационная, д. 13, лит. А",3,89,5, 59 ,13500000,151686,13500000,151686,03.12.2018,30.01.2019
25,"ул. Авиационная, д. 13, лит. А",2,"51,4",2, 76 ,7800000,151751,7800000,151751,27.07.2018,10.10.2018
26,"ул. Авиационная, д. 13, лит. А",3,"71,8",6, 82 ,9500000,132312,9300000,129527,30.06.2018,19.09.2018
27,"ул. Авиационная, д. 13, лит. А",3,"73,5",3, 113 ,11150000,151701,11500000,156463,25.03.2018,15.07.2018
28,"ул. Авиационная, д. 13, лит. А",2,"53,2",5, 494 ,8000000,150376,6800000,127820,07.12.2016,14.04.2018
29,"ул. Авиационная, д. 13, лит. А",3,76,3, 80 ,11200000,147369,11200000,147369,19.01.2018,08.04.2018
30,"ул. Авиационная, д. 13, лит. А",3,87,3, 7 ,11450000,131610,11450000,131610,01.02.2018,07.02.2018
31,"ул. Авиационная, д. 13, лит. А",2,"51,7",6, 188 ,7000000,135397,6500000,125726,04.08.2017,07.02.2018
32,"ул. Авиационная, д. 13, лит. А",2,"51,7",7, 157 ,7000000,135397,6500000,125726,25.07.2017,28.12.2017
33,"ул. Авиационная, д. 13, лит. А",2,53,4, 19 ,8000000,150944,8000000,150944,29.11.2017,17.12.2017
34,"ул. Авиационная, д. 13, лит. А",2,49,5, 32 ,5990000,122245,5990000,122245,27.09.2017,28.10.2017
35,"ул. Авиационная, д. 13, лит. А",3,89,5, 555 ,17600000,197753,11000000,123596,10.02.2016,17.08.2017
36,"ул. Авиационная, д. 13, лит. А",2,52,2, 426 ,6500000,125000,7000000,134616,22.01.2016,22.03.2017
37,"ул. Авиационная, д. 13, лит. А",студия,74,6, 49 ,1700000,22973,1700000,22973,12.09.2016,30.10.2016
38,"ул. Авиационная, д. 13, лит. А",студия,"75,3",2, 55 ,2100000,27876,2100000,27876,06.09.2016,30.10.2016
39,"ул. Авиационная, д. 13, лит. А",3,88,3, 122 ,11400000,129546,10900000,123864,08.05.2015,06.09.2015
40,"ул. Авиационная, д. 13, лит. А",3,75,2, 246 ,11200000,149334,10250000,136667,10.12.2014,12.08.2015
41,"ул. Авиационная, д. 13, лит. А",1,54,5, 37 ,8000000,148149,7900000,146297,27.01.2015,04.03.2015
42,"ул. Авиационная, д. 13, лит. А",2,54,6, 70 ,7200000,133334,7200000,133334,16.12.2014,23.02.2015
43,"ул. Авиационная, д. 13, лит. А",2,46,6, 14 ,6850000,148914,6850000,148914,14.01.2015,27.01.2015
44,"ул. Авиационная, д. 13, лит. А",2,52,7, 20 ,7900000,151924,7900000,151924,17.12.2014,05.01.2015
45,"ул. Герасимовская, д. 3, лит. А",1,25,1, 46 ,2720000,108800,2720000,108800,12.10.2016,26.11.2016
46,"ул. Герасимовская, д. 3, лит. А",3,80,1, 27 ,6350000,79375,6000000,75000,02.09.2015,28.09.2015
47,"ул. Андреевская, д. 3, лит. А",2,57,5, 8 ,4950000,86843,4950000,86843,26.12.2019,02.01.2020
48,"ул. Андреевская, д. 3, лит. А",2,"49,1",2, 69 ,6100000,124237,6100000,124237,24.11.2018,31.01.2019
49,"ул. Андреевская, д. 3, лит. А",2,"54,3",1, 364 ,4700000,86557,4600000,84697,28.03.2017,26.03.2018
50,"ул. Андреевская, д. 3, лит. А",студия,"19,1",1, 219 ,1750000,91624,1550000,81152,07.08.2017,13.03.2018
51,"ул. Андреевская, д. 3, лит. А",1,"24,9",1, 220 ,2000000,80322,2000000,80322,03.08.2017,10.03.2018
52,"ул. Андреевская, д. 3, лит. А",студия,"18,8",1, 213 ,1650000,87766,1350000,71809,07.08.2017,07.03.2018
53,"ул. Андреевская, д. 3, лит. А",1,"24,9",1, 89 ,2300000,92370,2300000,92370,12.11.2017,08.02.2018
54,"ул. Андреевская, д. 3, лит. А",2,52,3, 61 ,4800000,92308,4800000,92308,10.11.2017,09.01.2018
